,countries,polarity,subjectivity
23,India,0.0,0.0
59,United,0.1,0.325
2,Spain,-0.4000000000000001,0.6
2,Spain,0.0,0.0
2,Spain,0.0,1.0
2,Spain,-0.4000000000000001,0.6
41,Myanmar,-0.2,0.7
14,France,0.0,0.06666666666666667
100,Guinea,0.0,0.06666666666666667
23,India,0.0,0.0
23,India,0.0,0.0
9,Colombia,1.0,0.75
23,India,-0.2,0.7
23,India,0.0,0.0
23,India,0.0,0.0
30,Kenya,0.0,0.0
30,Kenya,0.0,0.0
30,Kenya,0.0,0.0
23,India,-0.55,0.95
5,Italy,0.0,0.3
5,Italy,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
59,United,0.8,1.0
12,Mexico,0.2,0.2
23,India,0.0,0.0
23,India,0.0,0.0
23,India,-0.55,0.95
23,India,0.0,0.0
23,India,0.6499999999999999,0.75
59,United,0.0,0.0
59,United,0.0,0.0
59,United,-0.08333333333333333,0.4583333333333333
23,India,0.0,0.0
23,India,-0.55,0.95
23,India,-0.2,0.7
48,Guatemala,0.5,0.5
59,United,0.03333333333333333,0.06666666666666667
59,United,0.26666666666666666,0.2833333333333333
14,France,-0.25000000000000006,0.3
59,United,-0.20000000000000004,0.35
59,United,0.0,0.0
59,United,0.0,0.5333333333333333
59,United,0.0,0.0
2,Spain,0.0,0.06666666666666667
2,Spain,0.0,0.0
23,India,0.16515151515151516,0.353030303030303
