counter,topic,all_reactions,comments,shares,interaction_sum
580,0,464.0,0.0,58.0,522
581,0,390.0,0.0,416.0,806
582,1,0.0,0.0,0.0,0
583,0,36.0,0.0,10.0,46
584,0,539.0,136.0,1693.0,2368
585,1,0.0,0.0,0.0,0
586,0,659.0,360.0,4071.0,5090
587,2,55.0,0.0,1302.0,1357
588,1,0.0,12.0,5.0,17
589,0,896.0,0.0,1031.0,1927
590,0,332.0,0.0,131.0,463
591,0,0.0,187.0,4034.0,4221
592,0,143.0,119.0,221.0,483
593,0,139.0,29.0,79.0,247
594,1,0.0,0.0,0.0,0
595,0,92.0,21.0,199.0,312
596,0,135.0,28.0,6.0,169
597,1,0.0,0.0,0.0,0
598,1,0.0,31.0,360.0,391
599,0,0.0,4.0,30.0,34
600,1,0.0,0.0,0.0,0
601,0,143.0,0.0,221.0,364
602,1,0.0,0.0,0.0,0
603,0,91.0,50.0,18.0,159
604,0,92.0,21.0,199.0,312
605,0,119.0,0.0,33.0,152
606,1,0.0,0.0,0.0,0
607,0,92.0,21.0,199.0,312
608,0,945.0,0.0,2547.0,3492
609,0,81.0,7.0,1.0,89
610,0,195.0,87.0,41.0,323
611,1,0.0,0.0,0.0,0
612,0,5500.0,1000.0,465.0,6965
613,0,184.0,0.0,3.0,187
614,1,0.0,0.0,0.0,0
615,1,0.0,0.0,0.0,0
616,0,0.0,45.0,390.0,435
617,0,30.0,15.0,145.0,190
618,0,82.0,9.0,15.0,106
619,0,67.0,18.0,4.0,89
620,0,895.0,0.0,6625.0,7520
621,0,0.0,29.0,2160.0,2189
622,0,0.0,8.0,217.0,225
623,0,1400.0,2000.0,39490.0,42890
624,1,0.0,146.0,381.0,527
625,1,0.0,0.0,0.0,0
626,1,0.0,0.0,0.0,0
627,0,6.0,2.0,3.0,11
628,0,2.0,3.0,2.0,7
629,0,0.0,2.0,0.0,2
630,0,3.0,1.0,3.0,7
631,1,0.0,0.0,0.0,0
632,0,50.0,36.0,3.0,89
633,0,0.0,231.0,1068.0,1299
634,1,0.0,0.0,0.0,0
635,1,0.0,0.0,0.0,0
636,0,849.0,0.0,628.0,1477
637,1,0.0,18.0,727.0,745
638,0,75.0,0.0,14.0,89
639,0,0.0,0.0,0.0,0
640,1,0.0,0.0,0.0,0
641,0,26.0,0.0,94.0,120
642,0,14000.0,1000.0,809.0,15809
643,0,21.0,0.0,443.0,464
644,0,26.0,0.0,610.0,636
645,0,226.0,0.0,45.0,271
646,1,7600.0,663.0,10799.0,19062
647,0,52.0,22.0,235.0,309
648,0,1100.0,0.0,1772.0,2872
649,0,723.0,0.0,635.0,1358
650,0,696.0,0.0,293.0,989
651,0,15.0,24.0,17.0,56
652,0,308.0,765.0,19972.0,21045
653,0,2000.0,652.0,1545.0,4197
654,0,162.0,0.0,76.0,238
655,0,13.0,0.0,1.0,14
656,2,57000.0,0.0,2526.0,59526
657,0,0.0,5.0,267.0,272
658,1,0.0,0.0,0.0,0
659,0,1200.0,195.0,140.0,1535
660,1,0.0,0.0,0.0,0
661,1,0.0,0.0,0.0,0
662,0,246.0,0.0,1825.0,2071
663,0,0.0,15.0,746.0,761
664,0,1000.0,121.0,48.0,1169
665,0,20.0,17.0,1675.0,1712
666,2,0.0,9.0,1.0,10
667,0,0.0,26.0,274.0,300
668,0,0.0,98.0,400.0,498
669,0,0.0,370.0,429.0,799
670,0,0.0,46.0,9745.0,9791
671,0,10.0,0.0,126.0,136
672,0,1200.0,198.0,165.0,1563
673,1,86.0,100.0,248.0,434
674,0,264.0,3.0,380.0,647
675,1,0.0,0.0,0.0,0
676,1,0.0,0.0,0.0,0
677,1,0.0,0.0,0.0,0
678,0,0.0,18.0,248.0,266
679,0,0.0,18.0,434.0,452
680,0,2700.0,12000.0,455.0,15155
681,1,0.0,0.0,0.0,0
682,0,0.0,36.0,235.0,271
683,0,0.0,28.0,276.0,304
684,0,0.0,11.0,153.0,164
685,1,0.0,0.0,0.0,0
686,0,124.0,2.0,8.0,134
687,1,0.0,0.0,0.0,0
688,0,21.0,0.0,15.0,36
689,0,7.0,0.0,2.0,9
690,0,0.0,4.0,314.0,318
691,0,0.0,39.0,191.0,230
692,1,0.0,0.0,0.0,0
693,1,0.0,5.0,1927.0,1932
694,0,199.0,53.0,307.0,559
695,0,231.0,0.0,25.0,256
696,0,162.0,24.0,268.0,454
697,0,0.0,125.0,2630.0,2755
698,1,0.0,0.0,0.0,0
699,0,0.0,48.0,4760.0,4808
700,0,16000.0,24000.0,13346.0,53346
701,1,0.0,6.0,12.0,18
702,0,325.0,157.0,274.0,756
703,1,87000.0,15000.0,53821.0,155821
704,1,0.0,0.0,0.0,0
705,0,111.0,0.0,230.0,341
706,0,201.0,39.0,57.0,297
707,0,678.0,0.0,4015.0,4693
708,0,537.0,195.0,671.0,1403
709,1,0.0,0.0,0.0,0
710,1,0.0,0.0,102.0,102
711,0,46.0,8.0,55.0,109
712,0,0.0,105.0,210.0,315
713,0,0.0,85.0,284.0,369
714,0,34.0,12.0,12.0,58
715,0,814.0,72.0,275.0,1161
716,0,1300.0,0.0,51.0,1351
717,0,128.0,0.0,135.0,263
718,0,0.0,797.0,7820.0,8617
719,0,24.0,0.0,4.0,28
720,0,7500.0,0.0,7465.0,14965
721,1,0.0,0.0,0.0,0
722,1,0.0,0.0,0.0,0
723,0,0.0,1.0,2.0,3
724,1,0.0,0.0,0.0,0
725,0,125.0,65.0,65.0,255
726,2,202.0,109.0,5635.0,5946
727,0,335.0,3.0,1840.0,2178
728,0,6.0,0.0,1.0,7
729,1,0.0,0.0,0.0,0
730,1,0.0,0.0,0.0,0
