has_words,id,link
"facebook,twitter",0,https://tfc-taiwan.org.tw/articles/5004
,0,https://factcheck.afp.com/video-shows-thai-king-and-queen-attending-koran-recitation-competition
"facebook,twitter,compartilhado",0,https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-soro-vital-brazil/
facebook,0,https://rebaltica.lv/2021/01/maldina-par-covid-vakcinu-ietekmi-uz-grutniecibu-un-auglibu/
"facebook,twitter",0,https://www.aosfatos.org/noticias/numero-de-obitos-no-brasil-entre-marco-e-maio-de-2020-nao-foi-menor-do-que-no-mesmo-periodo-de-2019/
social media,0,https://factcheck.afp.com/south-korean-officials-set-investigate-nasal-dilator-over-unproven-covid-19-prevention-claim
,0,https://efectococuyo.com/cocuyo-chequea/gargaras-cafe-sal-crema-dental-licor-ayudan-prevenir-covid-19/
tweet,0,https://factuel.afp.com/attention-la-cour-constitutionnelle-de-bosnie-na-pas-annule-lobligation-de-porter-le-masque
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-vacinacao-de-kamala-harris-contra-covid-19-foi-encenada/
"facebook,twitter",0,https://teyit.org/analiz-videonun-kamala-harrisin-aslinda-asi-olmadigini-gosterdigi-iddiasi
social media,0,https://healthfeedback.org/claimreview/lower-flu-activity-this-season-likely-due-to-covid-19-restrictions-increased-flu-vaccination-and-other-factors-not-to-misdiagnosis-of-flu-cases-as-covid-19/
social media,0,https://healthfeedback.org/claimreview/vaccines-protect-people-from-diseases-but-dont-always-prevent-disease-transmission-research-ongoing-to-determine-if-covid-19-vaccines-stop-transmission/
,0,https://www.animalpolitico.com/elsabueso/comer-saludable-y-hacer-ejercicio-no-sustituye-la-vacunacion-ni-previene-o-cura-la-covid/
"tweet,social media",0,https://healthfeedback.org/claimreview/the-cdc-reports-more-than-2-9-million-deaths-in-the-u-s-in-2020-at-least-377000-more-deaths-in-2020-compared-to-previous-years/
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/01/20/feuerwehrmann-aus-oberbayern-starb-an-einem-herzinfarkt-nicht-an-der-corona-impfung/
"facebook,twitter,compartilhado",0,https://piaui.folha.uol.com.br/lupa/2021/01/08/verificamos-washington-post-vacina/
"facebook,twitter",0,https://www.aosfatos.org/noticias/posts-enganam-ao-indicar-uso-de-remedios-sem-eficacia-comprovada-contra-covid-19/
"facebook,twitter",0,https://www.aosfatos.org/noticias/foto-de-maju-coutinho-na-praia-nao-e-recente-mas-de-maio-de-2019/
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/01/12/krankenhausdaten-nein-es-sind-nicht-zwei-drittel-der-corona-toten-ohne-virusnachweis/
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-governo-de-sp-gastou-r-22-bilhoes-com-coronavac-para-imunizar-populacao-do-estado/
,0,https://factuel.afp.com/cet-elu-israelien-bien-ete-vaccine-contre-le-covid-19
,0,https://factuel.afp.com/non-laustralie-na-pas-mis-fin-la-vaccination-contre-le-covid-19-pour-infection-au-vih
"twitter,postado",0,https://politica.estadao.com.br/blogs/estadao-verifica/silas-malafaia-publica-video-enganoso-sobre-prescricao-da-ivermectina-contra-covid-19/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/05/verificamos-renata-vasconcellos-mascara/
,0,https://factcheck.afp.com/video-shows-covid-19-patients-quarantine-centre-malaysia
"facebook,twitter",0,https://teyit.org/analiz-bimde-covid-19-asilari-satildigi-iddiasi
"facebook,twitter",0,https://teyit.org/analiz-turkiyeye-ulasan-sinovac-asisinin-cinde-yasak-oldugu-iddiasi
