,claimReviewed,datePublished,author_name,url
2987,Pemerintah Cina menuduh Indonesia menyebarkan virus Corona Covid-19,2020-03-26,Tempo.co,https://cekfakta.tempo.co/fakta/701/fakta-atau-hoaks-benarkah-pemerintah-cina-tuduh-indonesia-yang-sebarkan-virus-corona-covid-19
2988,Donald Trump announced that Roche Diagnostics will launch COVID-19 vaccine on Sunday,2020-03-26,Vera Files,https://verafiles.org/articles/vera-files-fact-check-fb-post-trump-announcing-launch-covid
2989,"""We've done more tests in eight days than South Korea has done in eight weeks.""",2020-03-25,PolitiFact,https://www.politifact.com/factchecks/2020/mar/25/donald-trump/trumps-boast-about-us-south-korea-coronavirus-test/
2990,"""Speaker Pelosi & Democrats are attempting to give themselves a $25 million raise"" through the coronavirus stimulus package.",2020-03-25,FactCheck.org,https://www.factcheck.org/2020/03/false-claim-of-congressional-pay-raises-in-stimulus-bill/
2991,Cette vidéo montre une émeute qui a eu lieu à cause de la COVID-19.,2020-03-25,Décrypteurs,https://ici.radio-canada.ca/nouvelle/1686919/emeute-epicerie-covid-19-faux-mexique-veracruz
2992,"The 1918 Spanish flu pandemic ""was a flu where if you got it you had a 50/50 chance, or very close, of dying.""",2020-03-25,FactCheck.org,https://www.factcheck.org/2020/03/trumps-suspect-spanish-flu-claims/
2993,"Andrew Cuomo refused to buy 16,000 ventilators in 2015 for pandemic preparedness",2020-03-25,The Dispatch Fact Check,https://factcheck.thedispatch.com/p/did-gov-cuomo-reject-a-recommendation
2994,An audio message lists five ways people can prevent the novel coronavirus.,2020-03-25,PolitiFact,https://www.politifact.com/factchecks/2020/mar/25/chain-message/audio-shared-facebook-messenger-spreads-false-info/
2995,"""There’s been some tremendous signs that this could work. Now, again, you know, some doctors think it should go for years in testing. But, you know, this has been something that’s been around for many years. It’s been phenomenal — a strong, powerful drug for malaria. But we think it might work on this [COVID-19], based on evidence — based on very strong evidence.""",2020-03-25,FactCheck.org,https://www.factcheck.org/2020/03/trump-hypes-potential-covid-19-drugs-but-evidence-so-far-is-slim/
2996,“Bill Gates told us about the coronavirus in 2015.”,2020-03-25,PolitiFact,https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/bill-gates-warned-2015-we-were-unprepared-infectio/
2997,A military Humvee labeled “COVID-19 quarantine team” was on Interstate 696 in Michigan.,2020-03-25,PolitiFact,https://www.politifact.com/factchecks/2020/mar/25/viral-image/no-military-doesnt-have-covid-19-quarantine-team-h/
2998,"""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""",2020-03-25,PolitiFact,https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/beware-rumors-robbers-posing-covid-testers/
2999,"Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”
",2020-03-25,PolitiFact,https://www.politifact.com/factchecks/2020/mar/25/donald-trump/donald-trump-misses-key-facts-claim-new-york-gover/
3000,El 22 de marzo la velocidad del ritmo de contagio de coronavirus se reduce durante dos días consecutivos,2020-03-25,Newtral,https://www.newtral.es/el-22-de-marzo-la-velocidad-del-ritmo-de-contagio-de-coronavirus-no-se-habia-reducido-durante-dos-dias-consecutivos/20200324/
3001,La Universitat de Barcelona aprobará a sus alumnos si las clases se suspenden durante más de un mes,2020-03-25,Newtral,https://www.newtral.es/aprobado-universitat-barcelona-coronavirus-bulo/20200325/
3002,Un ferrocarril estadounidense ha transportado el COVID-19,2020-03-25,Newtral,https://www.newtral.es/no-te-creas-la-falsa-imagen-que-indica-que-un-ferrocarril-estadounidense-ha-transportado-el-covid-19-es-un-fotomontaje/20200325/
3003,Tabla comparativa de síntomas que circula por WhatsApp,2020-03-25,Newtral,https://www.newtral.es/el-coronavirus-de-wuhan-epidemia-mundial-de-bulos-ix/20200325/
3004,Imágenes supuestamente grabadas en Italia de menores infectadas,2020-03-25,Newtral,https://www.newtral.es/nos-preguntais-por-imagenes-italia-menores-infectadas-coronavirus/20200324/
3005,"ஒவ்வொரு 100 ஆண்டுகளுக்கும் ஏற்படும் பெரும் தொற்று ஏற்படுகிறது. 1720-ல் பிளேக், 1820-ல் காலரா , 1920-ல் ஸ்பானிஷ் ஃப்ளு, 2020-ல் கொரோனா வைரஸ் பாதிப்பு.",2020-03-25,Youturn ,https://youturn.in/factcheck/every-100years-pandemic.html
3006,உலகின் அழகான குழந்தைகளுக்குள் ஒருவரான ஈரானைச் சேர்ந்த அனஹிதா கொரோனா வைரசால் பாதிக்கப்பட்டு 2-ம் கட்டத்தில் உள்ளார்.,2020-03-25,Youturn ,https://youturn.in/factcheck/world-cutest-baby-anahita-corona.html
3007,Video drone yang menembakkan kembang api yang diklaim sebagai cara pemerintah Malaysia untuk membubarkan warga yang berada di luar rumah di tengah pandemi virus Corona COVID-19,2020-03-25,Tempo.co,https://cekfakta.tempo.co/fakta/699/fakta-atau-hoaks-benarkah-malaysia-bubarkan-warga-di-luar-rumah-dengan-drone-yang-tembakkan-kembang-api
3008,"இத்தாலி நாட்டில் தன் குடும்பத்தை கொரோனா பாதிப்பினால் இழந்த நபர் தன் உயிரை மாய்த்துக் கொண்டார்.
",2020-03-25,Youturn ,https://youturn.in/factcheck/corona-suicide-video.html
3009,"""COVID-19 is confirmed as airborne and remain 8 hrs in air! So everyone is required to wear mask everywhere!"" ",2020-03-24,FactCheck.org,https://www.factcheck.org/2020/03/posts-distort-facts-on-coronavirus-air-transmission-masks/
3010,“Fish tank additive may treat coronavirus.”,2020-03-24,PolitiFact,https://www.politifact.com/factchecks/2020/mar/24/blog-posting/drinking-chloroquine-fish-tank-cleaner-wont-stop-c/
3011,"""Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of"" the novel coronavirus.",2020-03-24,PolitiFact,https://www.politifact.com/factchecks/2020/mar/24/chain-message/facebook-messenger-video-falsely-claims-hot-lemon-/
3012,"""I wish they [China] told us three months sooner that this [the coronavirus] was a problem. We didn’t know about it. They knew about it and they should have told us.""",2020-03-24,FactCheck.org,https://www.factcheck.org/2020/03/correcting-trumps-press-conference-misinformation/
3013,“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.” ,2020-03-24,PolitiFact,https://www.politifact.com/factchecks/2020/mar/24/instagram-posts/putin-didnt-threaten-jail-time-coronavirus-lockdow/
3014,"Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.
",2020-03-24,PolitiFact,https://www.politifact.com/factchecks/2020/mar/24/instagram-posts/no-russia-didnt-release-lions-enforce-covid-19-sta/
3015,"""Starting the next day, Dr. [Nancy] Messonnier no longer appeared at public briefings of the White House coronavirus task force. The president and the White House sent a clear message to scientists in the government -- there would be a price for speaking out and speaking up.""",2020-03-24,FactCheck.org,https://www.factcheck.org/2020/03/biden-video-on-trump-silencing-expert/
3016,వీడియోలో కొరోనా వైరస్ ని సీరియస్ గా తీస్కోండి అని చెప్తున్న మహిళ కెనడా ప్రధాని భార్య,2020-03-24,FACTLY,https://factly.in/telugu-the-woman-requesting-to-take-coronavirus-seriously-in-this-video-is-not-canada-pms-wife/
3017,కరీంనగర్ వ్యక్తికి కరోన రావడం తో హాస్పిటల్ లో తన పరిస్థితి చూడండి,2020-03-24,FACTLY,https://factly.in/telugu-video-shared-as-condition-of-coronavirus-patient-from-karimnagar-is-not-from-india/
3018,Image of the people who died of Coronavirus in Italy,2020-03-24,FACTLY,https://factly.in/unrelated-photos-are-being-falsely-shared-in-the-context-of-covid-19-outbreak-in-italy/
3019,Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”,2020-03-24,PolitiFact,https://www.politifact.com/factchecks/2020/mar/24/facebook-posts/first-trump-now-biden-neither-said-people-who-have/
3020,Netflix regala cuentas gratis durante la cuarentena del coronavirus,2020-03-24,Newtral,https://www.newtral.es/netflix-coronavirus-cuenta-gratis/20200323/
3021,"Des voleurs offrent des tests de covid-19 de porte à porte, mais vous cambriolent ensuite.",2020-03-24,Décrypteurs,https://ici.radio-canada.ca/nouvelle/1684570/voleurs-covid-19-test-temperature-montreal
3022,Evitar el contagio coronavirus con alimentos que sean fuentes de Vitamina C.,2020-03-24,Varias fuentes,https://nutricion360.es/salud/vitamina-c-y-coronavirus
3023,Video yang diklaim sebagai video penumpang pesawat dari Italia ke Ethiopia yang seluruhnya terinfeksi virus Corona COVID-19 sehingga ditangkap polisi,2020-03-24,Tempo.co,https://cekfakta.tempo.co/fakta/698/fakta-atau-hoaks-benarkah-ini-video-penumpang-pesawat-dari-italia-ke-ethiopia-yang-semuanya-positif-corona
3024,"""Look no further than Dr. Nancy Messonnier, a career official at the Centers for Disease Control who was the first to raise the alarm. … Starting the next day, Dr. Messonnier no longer appeared at public briefings of the White House coronavirus task force.""",2020-03-24,Washington Post,https://www.washingtonpost.com/politics/2020/03/24/biden-campaigns-false-claim-top-cdc-official-was-silenced/
3025,"I farmaci a base di ibuprofene nei pazienti col coronavirus producono un'accelerazione della malattia, fino alla morte",2020-03-24,Pagella Politica,https://pagellapolitica.it/bufale/show/1016/notizia-falsa-i-farmaci-a-base-di-ibuprofene-covid-19-e-laccelerazione-della-malattia
